employee_id,first_name,last_name,department,salary,joining_date,age
1,Joshua,Ramos,Operations,65313.8,5/23/2024,42
2,Christina,Clark,IT,58827.32,10/2/2021,46
3,Jonathon,Sullivan,Operations,57427.31,4/30/2020,50
4,Clinton,Aguirre,HR,45352.74,4/4/2021,55
5,Veronica,Weber,Operations,78772.56,10/6/2020,51
6,Louis,Rivera,Finance,30448.72,5/5/2020,41
7,Sabrina,Gonzalez,Marketing,88476.72,10/15/2020,48
8,Jillian,Lewis,Marketing,49895.55,6/8/2021,33
9,Caroline,Kennedy,Finance,88878.64,7/17/2024,47
10,Adam,Sanchez,HR,88331.24,3/23/2020,38
11,Sara,Miller,Marketing,68588.45,7/21/2020,26
12,Hannah,Carrillo,Operations,82047.41,5/13/2024,59
13,Elizabeth,Johnson,IT,83585.45,12/11/2023,27
14,Victor,Lamb,Finance,55038.09,10/29/2024,56
15,Tammy,Collins,HR,39382.83,3/12/2021,52
16,Miranda,Mcmahon,Operations,41564.15,4/20/2021,37
17,Carla,Melton,Finance,41986.9,11/8/2024,28
18,Robert,Sullivan,Finance,72896.95,6/9/2024,46
19,Jessica,Williams,Operations,98452.12,7/2/2020,28
20,Kristina,Rivera,IT,85703.19,12/18/2022,59
21,Jason,Harding,Finance,54100.54,8/31/2022,47
22,Karen,Brown,Marketing,78103.24,2/7/2020,41
23,David,Webster,Marketing,35390.49,6/21/2022,54
24,Margaret,Barry,Marketing,58500.34,11/17/2024,53
25,Monica,Olson,IT,75404.05,1/2/2021,24
26,Eduardo,Smith,IT,96756.21,3/31/2021,42
27,Carrie,Olson,Marketing,72155.31,5/31/2021,23
28,Bradley,Flowers,HR,71647.02,1/20/2021,23
29,Derek,Dunlap,Finance,87172.65,5/4/2020,48
30,Christopher,Wilson,HR,85120.78,4/6/2021,28
31,Kristina,Banks,Operations,91453.39,9/14/2021,36
32,Nancy,Ortiz,HR,37425.94,4/18/2023,35
33,Kristine,Roberts,Finance,64355.51,2/2/2022,59
34,Robert,Duke,Marketing,49302.91,2/4/2020,48
35,Kenneth,Phillips,Finance,51958.01,11/1/2021,40
36,Douglas,Webster,Finance,96160.89,10/11/2024,26
37,Dylan,Warner,IT,57348.57,12/15/2022,31
38,Anthony,Moran,Marketing,61178.71,7/17/2022,33
39,Jessica,Stokes,IT,60328.03,12/24/2022,24
