employee_id,first_name,last_name,email,department, salary ,joining_date,age
1,Joshua,Ramos,alexandra29@gmail.com,Operations,"65,313.80",5/23/2024,42
2,Christina,Clark,littlekyle@yahoo.com,IT,"58,827.30",10/2/2021,46
3,Jonathon,Sullivan,tannerivan@johnson.com,Operations,"57,427.30",4/30/2020,50
4,Clinton,Aguirre,jamieortega@yahoo.com,HR,"45,352.70",4/4/2021,55
5,Veronica,Weber,trevinosteven@ramos.com,Operations,"78,772.50",10/6/2020,51
6,Louis,Rivera,parksamy@gmail.com,Finance,"30,448.70",5/5/2020,41
7,Sabrina,Gonzalez,rwillis@mason-clark.biz,Marketing,"88,476.70",10/15/2020,48
8,Jillian,Lewis,sreese@mclean-baker.net,Marketing,"49,895.50",6/8/2021,33
9,Caroline,Kennedy,inguyen@huynh.com,Finance,"88,878.60",7/17/2024,47
10,Adam,Sanchez,luisclark@hotmail.com,HR,"88,331.20",3/23/2020,38
11,Sara,Miller,tmoore@warren-lewis.org,Marketing,"68,588.40",7/21/2020,26
12,Hannah,Carrillo,dianeroberts@becker.com,Operations,"82,047.40",5/13/2024,59
13,Elizabeth,Johnson,ramirezbriana@hotmail.com,IT,"83,585.40",12/11/2023,27
14,Victor,Lamb,michellebrown@finley.com,Finance,"55,038.00",10/29/2024,56
15,Tammy,Collins,cherylbanks@gmail.com,HR,"39,382.80",3/12/2021,52
16,Miranda,Mcmahon,bonillamatthew@yahoo.com,Operations,"41,564.10",4/20/2021,37
17,Carla,Melton,nicholas84@johnson-phillips.com,Finance,"41,986.90",11/8/2024,28
18,Robert,Sullivan,millerallison@hotmail.com,Finance,"72,896.90",6/9/2024,46
19,Jessica,Williams,royrandy@kelly.com,Operations,"98,452.10",7/2/2020,28
20,Kristina,Rivera,fbrooks@martin-blair.com,IT,"85,703.10",12/18/2022,59
21,Jason,Harding,smithgarrett@gmail.com,Finance,"54,100.50",8/31/2022,47
22,Karen,Brown,mcdonaldchristina@haynes.com,Marketing,"78,103.20",2/7/2020,41
23,David,Webster,zacharylee@thomas-sharp.com,Marketing,"35,390.40",6/21/2022,54
24,Margaret,Barry,isaacfischer@hotmail.com,Marketing,"58,500.30",11/17/2024,53
25,Monica,Olson,zparrish@hotmail.com,IT,"75,404.00",1/2/2021,24
26,Eduardo,Smith,rossjared@montes.com,IT,"96,756.20",3/31/2021,42
27,Carrie,Olson,isabellahall@gmail.com,Marketing,"72,155.30",5/31/2021,23
28,Bradley,Flowers,david06@johnson-simon.com,HR,"71,647.00",1/20/2021,23
29,Derek,Dunlap,zhudson@frank.org,Finance,"87,172.60",5/4/2020,48
30,Christopher,Wilson,nmurray@rivera.biz,HR,"85,120.70",4/6/2021,28
31,Kristina,Banks,gutierrezjeffrey@gmail.com,Operations,"91,453.30",9/14/2021,36
32,Nancy,Ortiz,claytonmcguire@turner-fowler.com,HR,"37,425.90",4/18/2023,35
33,Kristine,Roberts,elizabethwhite@yahoo.com,Finance,"64,355.50",2/2/2022,59
34,Robert,Duke,unguyen@yahoo.com,Marketing,"49,302.90",2/4/2020,48
35,Kenneth,Phillips,michael73@webb.com,Finance,"51,958.00",11/1/2021,40
36,Douglas,Webster,wcarey@ray.biz,Finance,"96,160.80",10/11/2024,26
37,Dylan,Warner,robertschristopher@wilkerson.org,IT,"57,348.50",12/15/2022,31
38,Anthony,Moran,pearsonmichael@schmidt-hernandez.info,Marketing,"61,178.70",7/17/2022,33
39,Jessica,Stokes,robertjones@gmail.com,IT,"60,328.00",12/24/2022,24
40,Katie,Gordon,stephaniegill@hotmail.com,HR,"77,255.00",12/28/2021,37
41,Kathleen,Bailey,zthompson@smith-wall.com,Finance,"92,873.30",11/22/2024,24
42,James,Vaughn,jessicaperez@hall.com,HR,"47,270.80",11/18/2023,51
43,Jaime,Evans,millerkathleen@fuller.info,HR,"31,594.00",4/21/2020,55
44,Vanessa,Rosario,angela21@yahoo.com,Marketing,"65,408.80",4/15/2021,42
45,Dwayne,Kline,zjenkins@shaffer.com,HR,"55,993.30",4/17/2023,31
46,Jeremiah,Silva,richardsonmichael@hotmail.com,HR,"34,163.30",12/23/2021,46
47,Michelle,Perez,waterscharles@gmail.com,Finance,"44,352.50",11/29/2023,29
48,Ricardo,Wilson,michaelhawkins@hotmail.com,IT,"31,024.70",12/27/2022,60
49,Barbara,Gay,zkim@yahoo.com,IT,"87,649.90",4/16/2021,53
50,Eugene,Taylor,chadmcdonald@mitchell.com,Finance,"35,104.00",1/9/2023,38
51,Joshua,Freeman,smithkarl@li.org,Finance,"35,893.40",3/25/2023,59
52,Melissa,Garcia,anthonypeters@yahoo.com,HR,"49,094.00",6/20/2021,51
53,David,Flynn,riveraangel@hotmail.com,Operations,"35,475.50",3/9/2023,55
54,Steven,Robinson,westariana@griffith-shepherd.info,HR,"41,451.50",12/8/2022,25
55,Thomas,Davis,arnoldsean@allen.com,Operations,"61,914.60",12/8/2022,33
56,Larry,Vargas,jonesjames@hotmail.com,Finance,"43,182.60",9/23/2022,51
57,William,Hodge,judy34@ferrell-garrett.com,Operations,"60,669.40",5/27/2024,41
58,David,King,louismendoza@nguyen.org,Finance,"32,339.80",10/28/2021,39
59,Fred,Nicholson,vthomas@yahoo.com,HR,"59,827.70",1/29/2020,52
60,Rickey,Moore,rjohnson@russell-morgan.com,Operations,"77,195.20",12/30/2022,30
61,Michael,Carlson,conniemorris@yahoo.com,HR,"37,731.50",7/13/2020,36
62,Christy,Martin,tcarr@davis.org,IT,"38,943.30",5/21/2020,28
63,Alexis,Rodriguez,kayla91@yahoo.com,IT,"75,687.10",10/18/2020,36
64,Susan,Parker,richardsonchristopher@gmail.com,Operations,"77,946.70",6/19/2020,42
65,Donna,Gibbs,milleralicia@johnson.com,HR,"98,453.90",9/26/2024,23
66,Stephen,Cox,laura89@hotmail.com,Finance,"57,193.90",5/11/2023,34
67,Andrew,Evans,sfields@jimenez.org,Operations,"97,693.10",7/27/2021,35
68,Kathleen,Mcintyre,rebeccalopez@guzman.com,Marketing,"41,015.40",8/24/2022,46
69,Sheri,Clark,william03@gmail.com,Finance,"63,724.80",8/7/2023,42
70,Cassandra,Lee,jensenlisa@warner-dixon.org,Finance,"74,820.00",5/5/2024,57
71,Tiffany,Allen,phillipdunn@gmail.com,Marketing,"69,740.40",5/30/2020,29
72,Roberto,Frost,saraferguson@hotmail.com,HR,"97,048.50",10/17/2024,53
73,Robert,Grant,gburns@yahoo.com,Marketing,"91,798.20",3/18/2024,32
74,Joshua,Powell,utravis@harris-tucker.com,Finance,"42,744.00",3/16/2022,56
75,Ricardo,Johnson,susancollier@gmail.com,Finance,"58,864.00",7/20/2023,31
76,Kyle,Durham,bhenry@weaver.com,Marketing,"51,792.50",5/16/2023,31
77,Shawn,Banks,adamsdale@hamilton-baldwin.org,Operations,"79,243.00",8/28/2022,26
78,Brian,Campbell,warecarrie@hotmail.com,Finance,"73,643.20",7/30/2023,59
79,Michael,Diaz,nortonkristine@hotmail.com,Marketing,"63,084.80",7/25/2020,35
80,Aaron,Foster,ramirezdaniel@anderson.com,HR,"90,474.30",2/9/2024,56
81,Frank,Harper,dannymacdonald@gmail.com,Operations,"89,616.90",11/24/2024,60
82,William,Williams,cynthia43@evans.com,Marketing,"72,750.50",3/28/2022,59
83,Regina,Cruz,iclarke@gmail.com,HR,"67,870.50",7/8/2020,54
84,Brandy,Perry,matthew41@lee-raymond.com,Marketing,"77,254.00",10/27/2021,54
85,Betty,Griffin,carnold@jones.net,Finance,"99,398.20",11/23/2024,55
86,Amy,Williams,uromero@adkins.com,IT,"37,718.70",4/17/2022,58
87,Jacob,Monroe,cjimenez@barber.com,HR,"50,172.70",7/4/2021,27
88,Jill,Hall,ericcosta@williams-long.net,Finance,"78,092.10",9/11/2022,53
89,Alexandra,Richmond,valdezmatthew@gmail.com,Operations,"63,588.50",1/3/2023,22
90,Tyler,Powers,gperry@keith-thomas.com,Operations,"64,827.20",5/18/2024,22
91,Jonathan,Thompson,jwalker@gmail.com,HR,"62,490.50",6/28/2020,53
