"user_id","username","email","age","city"
1,"Ayush Rajput","akshverma@gmail.com",30,"India"
2,"Piyush Rajput","piyush@gmail.com",17,"Etah"
3,"Ayush Rajput","akshverma@gmail.com",30,"India"
4,"Piyush Rajput","piyush@gmail.com",17,"Etah"
5,"Ayush Rajput","akshverma@gmail.com",30,"India"
7,"Ayush Rajput","akshverma@gmail.com",30,"India"
8,"Piyush Rajput","piyush@gmail.com",17,"Etah"
9,"Ayush Rajput","akshverma@gmail.com",26,"India"
10,"Piyush Rajput","piyush@gmail.com",16,"Etah"
11,"Ayush Rajput","akshverma@yahoo.com",25,"India"
12,"Piyush Rajput","piyush@gmail.com",16,"Etah"
13,"Ayush Rajput","akshverma@gmail.com",26,"India"
14,"Piyush Rajput","piyush@gmail.com",16,"Etah"
15,"Kamal  Raj","Kamal@gmail.com",20,"Farrukhabad"
16,"Kamal  Raj","Kamal@gmail.com",20,"Hardoi"
